id,code,name,parent_id/id,reconcile,account_type,tag_ids/id,chart_template_id/id
account_1001,1001,库存现金,,TRUE,asset_cash,,l10n_chart_china_standard_business_latest
account_1002,1002,银行存款,,TRUE,asset_cash,tag21,l10n_chart_china_standard_business_latest
account_1003,1003,存放中央银行款项,,TRUE,asset_current,tag21,l10n_chart_china_standard_business_latest
account_1011,1011,存放同业,,FALSE,asset_current,tag21,l10n_chart_china_standard_business_latest
account_1012,1012,其他货币资金,,FALSE,asset_current,,l10n_chart_china_standard_business_latest
account_1021,1021,结算备付金,,FALSE,asset_current,tag22,l10n_chart_china_standard_business_latest
account_1031,1031,存出保证金,,FALSE,asset_current,tag23,l10n_chart_china_standard_business_latest
account_1101,1101,交易性金融资产,,FALSE,asset_current,,l10n_chart_china_standard_business_latest
account_1111,1111,买入返售金融资产,,FALSE,asset_current,tag23,l10n_chart_china_standard_business_latest
account_1121,1121,应收票据,,TRUE,asset_receivable,,l10n_chart_china_standard_business_latest
account_1122,1122,应收账款,,TRUE,asset_receivable,,l10n_chart_china_standard_business_latest
account_1123,1123,预付账款,,TRUE,asset_receivable,,l10n_chart_china_standard_business_latest
account_1124,1124,应收账款(PoS),,TRUE,asset_receivable,,l10n_chart_china_standard_business_latest
account_1131,1131,应收股利,,TRUE,asset_receivable,,l10n_chart_china_standard_business_latest
account_1132,1132,应收利息,,TRUE,asset_receivable,,l10n_chart_china_standard_business_latest
account_1201,1201,应收代位追偿款,,FALSE,asset_current,tag24,l10n_chart_china_standard_business_latest
account_1211,1211,应收分保账款,,FALSE,asset_current,tag24,l10n_chart_china_standard_business_latest
account_1212,1212,应收分保合同准备金,,FALSE,asset_current,tag24,l10n_chart_china_standard_business_latest
account_1221,1221,其他应收款,,FALSE,asset_current,,l10n_chart_china_standard_business_latest
account_1231,1231,坏账准备,,FALSE,asset_current,,l10n_chart_china_standard_business_latest
account_1301,1301,贴现资产,,FALSE,asset_current,tag21,l10n_chart_china_standard_business_latest
account_1302,1302,拆出资金,,FALSE,asset_current,,l10n_chart_china_standard_business_latest
account_1303,1303,贷款,,FALSE,asset_current,tag25,l10n_chart_china_standard_business_latest
account_1304,1304,贷款损失准备,,FALSE,asset_current,tag25,l10n_chart_china_standard_business_latest
