id,code,name,parent_id,reconcile,account_type,tag_ids,name@zh_CN
account_1001,1001,库存现金,,TRUE,asset_cash,,库存现金
account_1002,1002,银行存款,,TRUE,asset_cash,l10n_cn_standard_latest.tag21,银行存款
account_1002_01,1002.01,银行存款-人民币,account_1002,TRUE,asset_cash,,银行存款-人民币
account_1002_02,1002.02,银行存款-利息,account_1002,TRUE,asset_cash,,银行存款-利息
account_1002_07,1002.07,银行暂记科目,account_1002,TRUE,asset_current,,银行暂记科目
account_1002_08,1002.08,银行存款-未完成收款,account_1002,TRUE,asset_current,,银行存款-未完成收款
account_1002_09,1002.09,银行存款-未完成付款,account_1002,TRUE,asset_current,,银行存款-未完成付款
account_1003,1003,存放中央银行款项,,TRUE,asset_current,l10n_cn_standard_latest.tag21,存放中央银行款项
account_1011,1011,存放同业,,FALSE,asset_current,l10n_cn_standard_latest.tag21,存放同业
account_1012,1012,其他货币资金,,FALSE,asset_current,,其他货币资金
account_1021,1021,结算备付金,,FALSE,asset_current,l10n_cn_standard_latest.tag22,结算备付金
account_1031,1031,存出保证金,,FALSE,asset_current,l10n_cn_standard_latest.tag23,存出保证金
account_1101,1101,交易性金融资产,,FALSE,asset_current,,交易性金融资产
account_1111,1111,买入返售金融资产,,FALSE,asset_current,l10n_cn_standard_latest.tag23,买入返售金融资产
account_1121,1121,应收票据,,TRUE,asset_receivable,,应收票据
account_1122,1122,应收账款,,TRUE,asset_receivable,,应收账款
account_1123,1123,预付账款,,TRUE,asset_receivable,,预付账款
account_1124,1124,应收账款(PoS),,TRUE,asset_receivable,,应收账款(PoS)
account_1131,1131,应收股利,,TRUE,asset_receivable,,应收股利
account_1132,1132,应收利息,,TRUE,asset_receivable,,应收利息
account_1201,1201,应收代位追偿款,,FALSE,asset_current,l10n_cn_standard_latest.tag24,应收代位追偿款
account_1211,1211,应收分保账款,,FALSE,asset_current,l10n_cn_standard_latest.tag24,应收分保账款
account_1212,1212,应收分保合同准备金,,FALSE,asset_current,l10n_cn_standard_latest.tag24,应收分保合同准备金
account_1221,1221,其他应收款,,FALSE,asset_current,,其他应收款
account_1231,1231,坏账准备,,FALSE,asset_current,,坏账准备
